Keyword,Attribute,Actual Attribute,Pros,Cons
touch,Efficiency,Smooth,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
memory ,Apps,Apps,Apps,Apps
budget,Price,Price,It's worth the price,It's not worth the price
expandable,Memory,Memory,Memory,Memory
touch,Quality,Quality,Quality,Quality
flipkart,Out of stock,Delivery,Quick Delivery,Delayed Delivery
built ,quality,Quality,Good body built quality,Body built not good
touch,Smooth,Smooth,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
expandable,Memory,Memory,Memory,Memory
Camera,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
budget,Price,Price,It's worth the price,It's not worth the price
features,Cost,Cost,,
touch,Keypad,Keypad,Nice Keypad,Keypad is not good
snapdeal,Service,Service,Service,Service
music,Clear,Quality,Music sound quality is awesome,Music sound quality is poor
music,Volume,Volume,Music sound quality is awesome,Music sound quality is poor
Bluetooth,Fast,Fast,Fast bluetooth sharing,Bluetooth range and sharing is slow
interface,User Friendly,user friendly,UI is simple and smooth,UI is complicated and not smooth
clarity,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
fast,IOS,IOS,IOS,IOS
hardware,Design,Design,Design,Design
UI,Responsiveness,Responsive,Highly responsive and smooth UI,UI is not responsive and smooth
Camera,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
speakers,Loud,Loud,Good sound quality,Poor sound quality
fast,Shipping,Shipping,Shipping,Shipping
Bluetooth,Share,Transfer,Fast bluetooth sharing,Bluetooth range and sharing is slow
body,Light weight,Light weight,Light weight,Heavy and big
sound,Clarity,Clarity,Good sound quality,Poor sound quality
Bluetooth,Supported,Support,Fast bluetooth sharing,Bluetooth range and sharing is slow
Screen,Resolution,Resolution,Good screen resolution and display,Screen resolution and display is poor
durable,Product,Durable,Good body built quality,Body built not good
build,Quality,Quality,Good body built quality,Body built not good
sound,Quality,Quality,Good sound quality,Poor sound quality
online,Snapdeal,,,
affordable,Rate,Price,It's worth the price,It's not worth the price
durable,Keypad,Durable,Durable,Not durable
sound,Quality,Quality,Good sound quality,Poor sound quality
games,Torch,Torch,Torch,Torch
sound,Echoes,,Good sound quality,Poor sound quality
build,Quality,Quality,Good body built quality,Body built not good
build,Robust,Robust,Good body built quality,Body built not good
sound,Quality,Quality,Good sound quality,Poor sound quality
body,Quality,Quality,Good body built quality,Body built not good
body,Build,Quality,Good body built quality,Body built not good
build,Quality,Quality,Good body built quality,Body built not good
build,Quality,Quality,Good body built quality,Body built not good
sound,Quality,Quality,Good sound quality,Poor sound quality
sound,Low,Low,Good sound quality,Poor sound quality
affordable,price,Price,It's worth the price,It's not worth the price
clarity,2 MP,2 MP,Camera and picture quality is good,Camera and picture quality is poor
sound,Quality,Quality,Good sound quality,Poor sound quality
smooth ,Keys,Keys,Nice Keypad,Keypad is not good
Camera,2 mega pixel,2 mega pixel,,
build,Quality,Quality,Good body built quality,Body built not good
browsing,internet,internet,No issues in browsing and internet connectivity,Browsing and connectivity problems
image,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
fast,Connectivity,Connectivity,Connectivity,Connectivity
video,Quality,Quality,Smooth and clear  video recording quality ,Video recording quality not good
Camera,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
Resolution,Low,Low,Display resolution is great,Display resolution is not so good
sound,Low,Low,Good sound quality,Poor sound quality
UI,Easy,Smooth,Highly responsive and smooth UI,UI is not responsive and smooth
fast,lags,lags,,
Delivery,Quick,Quick,Quick Delivery,Delayed Delivery
store,available,,Loads of app in app store,Limited apps in app store
responsive,Keyboard,Keyboard,Keyboard,Keyboard
responsive,lags,,Touch screen has no lag,Touch screen has lags and hangs
touch,Keyboard,,Nice Keypad,Keypad is not good
touch,lags,lag,Touch screen has no lag,Touch screen has lags and hangs
applications,Easy,Easy,Apps run smoothly,Apps don't run smoothly and hangs
build,Last,Last,Good body built quality,Body built not good
features,Price,Price,,
Camera,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
touch,sensor,sensor,Touch screen is highly sensitive and responsive,Touch is not sensitive 
snapdeal,Packaging,Packaging,Packaging,Packaging
smooth ,Interaction,Interaction,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
features,Price,Price,,
Android,Complicated,Complicated,Complicated,Complicated
Camera,Photos,image,Camera and picture quality is good,Camera and picture quality is poor
Sleek,UI,UI,Sleek and slim,Heavy and big
Screen,Size,Size,Screen size is perfect,Screen size is not ok
Apps,Support,Support,Apps run smoothly,Apps don't run smoothly and hangs
responsive,Screen,Screen,Touch screen is highly sensitive and responsive,Touch is not sensitive 
Display,Clear,Clear,Suberb display clarity,Display quality not good
Display,Crisp,Clear,Suberb display clarity,Display quality not good
touch,Slow,,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
cheap,Price,Price,It's worth the price,It's not worth the price
features,Cool,Cool,,
internet,Connectivity,Connectivity,No issues in browsing and internet connectivity,Browsing and connectivity problems
memory ,Expandable,Expandable,Expandable memory,No expandable memory
snapdragon,Processor,Processor,Processor,Processor
Android,Bulky,Bulky,Bulky,Bulky
interface,Easy,Smooth,UI is simple and smooth,UI is complicated and not smooth
expandable,Space,Space,,
internal,8 GB,8 GB,8 GB,8 GB
internal,memory,memory,memory,memory
memory ,8 GB,8 GB,8 GB,8 GB
connectivity,Wi-Fi,Wi-Fi,Speed in Wi-Fi browsing is good,Speed in Wi-Fi browsing is not good
internet,Connectivity,Connectivity,No issues in browsing and internet connectivity,Browsing and connectivity problems
touch,Response,Responsive,Touch screen is highly sensitive and responsive,Touch is not sensitive 
Game,Graphics,Graphics,Super graphics,Graphics are not cool
Game,Support,Support,Excellent for gaming,Not good for gaming
software,Support,Support,Support,Support
Camera,lenses,Lenses,Good lens quality,Poor lens quality
Android,Apps,Apps,Apps,Apps
windows,Quality,,,
